mode_of_transport,day,time,impacts,illumination_effect,campaign_name,frame,quarter_of_hour
2,1,5,15.7854374365,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 07:00:00
2,1,6,5.9904063966,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 07:15:00
2,1,7,4.8181710177,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 07:30:00
2,1,8,5.2393302191,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 07:45:00
2,1,9,7.2955156509,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 08:00:00
2,1,10,3.9731524098,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 08:15:00
2,1,11,8.9159478635,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 08:30:00
2,1,12,0.0079547713,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 08:45:00
2,1,13,0.0000514475,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 09:00:00
2,1,14,31.8786031167,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 09:15:00
2,1,16,28.8889302233,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 09:45:00
2,1,17,23.5004705979,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 10:00:00
2,1,18,0.0475766326,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 10:15:00
2,1,19,0.0236827811,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 10:30:00
2,1,20,0.4208467458,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 10:45:00
2,1,21,0.0003385091,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 11:00:00
2,1,22,6.1451444924,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 11:15:00
2,1,23,1.1763349691,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 11:30:00
2,1,24,9.2366768881,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 11:45:00
2,1,26,0.0009923826,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 12:15:00
2,1,27,14.678656075,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 12:30:00
2,1,28,23.9709303386,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 12:45:00
